(0, 3) (1, 9) (2, 8) (4, 7) (5, 10) (6, 11), 0.8602707006369427, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/41
(0, 5) (1, 6) (2, 9) (3, 11) (4, 10) (7, 8), 0.8465366242038217, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/78
(0, 2) (1, 11) (3, 8) (4, 7) (5, 9) (6, 10), 0.8374800955414012, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/32
(0, 6) (1, 2) (3, 11) (4, 10) (5, 8) (7, 9), 0.8126990445859873, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/93
(0, 3) (1, 8) (2, 10) (4, 5) (6, 7) (9, 11), 0.8121019108280255, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/38
(0, 5) (1, 7) (2, 9) (3, 4) (6, 10) (8, 11), 0.8062300955414012, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/82
(0, 1) (2, 9) (3, 7) (4, 6) (5, 11) (8, 10), 0.8036425159235668, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/10
(0, 1) (2, 11) (3, 7) (4, 6) (5, 9) (8, 10), 0.8007563694267515, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/12
(0, 2) (1, 11) (3, 5) (4, 9) (6, 10) (7, 8), 0.7992635350318471, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/30
(0, 4) (1, 9) (2, 10) (3, 8) (5, 11) (6, 7), 0.7965764331210191, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/61
(0, 6) (1, 4) (2, 11) (3, 7) (5, 10) (8, 9), 0.791202229299363, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/94
(0, 5) (1, 10) (2, 11) (3, 4) (6, 8) (7, 9), 0.7909036624203821, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/88
(0, 3) (1, 2) (4, 11) (5, 8) (6, 9) (7, 10), 0.7882165605095541, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/33
(0, 4) (1, 10) (2, 8) (3, 7) (5, 11) (6, 9), 0.7814490445859873, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/63
(0, 5) (1, 6) (2, 10) (3, 8) (4, 11) (7, 9), 0.7731886942675159, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/79
(0, 1) (2, 3) (4, 5) (6, 7) (8, 9) (10, 11), 0.7708996815286624, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/1
(0, 3) (1, 8) (2, 4) (5, 7) (6, 11) (9, 10), 0.7662221337579618, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/37
(0, 4) (1, 5) (2, 11) (3, 6) (7, 8) (9, 10), 0.7601512738853503, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/52
(0, 2) (1, 3) (4, 10) (5, 6) (7, 11) (8, 9), 0.7553742038216561, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/15
(0, 4) (1, 11) (2, 6) (3, 8) (5, 9) (7, 10), 0.7542794585987261, /data/yjzhang/desktop/try/key-driven-gqa/output/arbitrary/more/67
